date,title,tone,goldstein_scale,country,event_type
2020-01-01,New energy cooperation agreement signed with Canada | Pipeline infrastructure attacked in Norway | OPEC+ discusses production levels amid Iran concerns,0.057570675836368344,-0.03602049162653068,"Canada, Norway, Iran","ENERGY_AGREEMENT, PIPELINE_ATTACK, OPEC_MEETING"
2020-01-02,Pipeline infrastructure attacked in Kuwait,-0.24301415904533805,-0.2103956552682798,Kuwait,PIPELINE_ATTACK
2020-01-03,Major refinery fire disrupts China energy supply | Geopolitical tensions rise in Kuwait energy region | Pipeline infrastructure attacked in Norway,0.015126342627762654,-0.0713761167010525,"China, Kuwait, Norway","REFINERY_FIRE, GEOPOLITICAL_TENSION, PIPELINE_ATTACK"
2020-01-04,Carbon pricing mechanism implemented in Venezuela,-0.6640930244492153,0.059058370760737056,Venezuela,CARBON_TAX
2020-01-05,Geopolitical tensions rise in Canada energy region | New energy cooperation agreement signed with Norway | OPEC+ discusses production levels amid UAE concerns | Trade tensions escalate between USA and energy partners | Climate summit addresses USA energy transition | Major renewable energy investment announced in UAE,0.12007237935173366,0.1538856632080617,"Canada, Norway, UAE, USA","GEOPOLITICAL_TENSION, ENERGY_AGREEMENT, OPEC_MEETING, TRADE_WAR, CLIMATE_SUMMIT, RENEWABLE_INVESTMENT"
2020-01-07,Carbon pricing mechanism implemented in Norway | Pipeline infrastructure attacked in Iran,-0.09572340929340067,0.281235419653699,"Norway, Iran","CARBON_TAX, PIPELINE_ATTACK"
2020-01-08,New energy cooperation agreement signed with Kuwait | OPEC+ discusses production levels amid Canada concerns,-0.12223906193418752,-0.2402562809191469,"Kuwait, Canada","ENERGY_AGREEMENT, OPEC_MEETING"
2020-01-09,Major renewable energy investment announced in Saudi_Arabia | New energy cooperation agreement signed with China,0.11366336230256377,0.1735522935813505,"Saudi_Arabia, China","RENEWABLE_INVESTMENT, ENERGY_AGREEMENT"
2020-01-10,Major renewable energy investment announced in Kuwait | OPEC+ discusses production levels amid USA concerns,-0.009884747571954934,-0.10221469194242026,"Kuwait, USA","RENEWABLE_INVESTMENT, OPEC_MEETING"
2020-01-11,Climate summit addresses Norway energy transition | New energy cooperation agreement signed with Russia,-0.019840066776705495,-0.016973668529195705,"Norway, Russia","CLIMATE_SUMMIT, ENERGY_AGREEMENT"
2020-01-12,Major refinery fire disrupts UAE energy supply,0.128775195361382,-0.02233377472985013,UAE,REFINERY_FIRE
2020-01-13,USA announces new drilling restrictions | Major renewable energy investment announced in Venezuela,0.16060837237196204,0.34358345239890387,"USA, Venezuela","DRILLING_BAN, RENEWABLE_INVESTMENT"
2020-01-14,Carbon pricing mechanism implemented in Kuwait,0.383648419353202,-0.34493777324830754,Kuwait,CARBON_TAX
2020-01-15,Trade tensions escalate between Venezuela and energy partners,-0.15753606784424795,-0.20656426230162953,Venezuela,TRADE_WAR
2020-01-16,Pipeline infrastructure attacked in Venezuela | New energy cooperation agreement signed with Russia | Major refinery fire disrupts Canada energy supply,-0.08814028295900873,0.1225822832823203,"Venezuela, Russia, Canada","PIPELINE_ATTACK, ENERGY_AGREEMENT, REFINERY_FIRE"
2020-01-17,Major renewable energy investment announced in China | New energy cooperation agreement signed with Canada | New sanctions target USA energy sector,0.38521294663880185,0.04611064142753124,"China, Canada, USA","RENEWABLE_INVESTMENT, ENERGY_AGREEMENT, SANCTIONS"
2020-01-19,Major refinery fire disrupts Russia energy supply,0.12524642517293832,0.10393446284909276,Russia,REFINERY_FIRE
2020-01-20,Major refinery fire disrupts Norway energy supply,0.11314413474943741,0.25422042977299164,Norway,REFINERY_FIRE
2020-01-23,New sanctions target China energy sector,0.11973895692834627,0.19753169845426025,China,SANCTIONS
2020-01-24,USA announces new drilling restrictions,-0.23126343010087605,-0.33374920629883437,USA,DRILLING_BAN
2020-01-25,Carbon pricing mechanism implemented in Russia | Carbon pricing mechanism implemented in Venezuela,-0.002710220358656895,-0.15831071897388718,"Russia, Venezuela",CARBON_TAX
2020-01-26,USA announces new drilling restrictions | Pipeline infrastructure attacked in Saudi_Arabia | Carbon pricing mechanism implemented in Iran,-0.1230158398968023,-0.13065391271320204,"USA, Saudi_Arabia, Iran","DRILLING_BAN, PIPELINE_ATTACK, CARBON_TAX"
2020-01-27,OPEC+ discusses production levels amid Canada concerns | New energy cooperation agreement signed with UAE | Trade tensions escalate between Norway and energy partners | New sanctions target Canada energy sector,-0.16612100846782016,-0.21761829251621506,"Canada, UAE, Norway","OPEC_MEETING, ENERGY_AGREEMENT, TRADE_WAR, SANCTIONS"
2020-01-28,Major renewable energy investment announced in Venezuela | New sanctions target Russia energy sector,0.18403392925252143,0.4175192863497552,"Venezuela, Russia","RENEWABLE_INVESTMENT, SANCTIONS"
2020-01-29,New sanctions target China energy sector | Geopolitical tensions rise in Russia energy region | Major refinery fire disrupts USA energy supply | Norway announces new drilling restrictions | Pipeline infrastructure attacked in Saudi_Arabia,0.07710810806074535,-0.04588048923220562,"China, Russia, USA, Norway, Saudi_Arabia","SANCTIONS, GEOPOLITICAL_TENSION, REFINERY_FIRE, DRILLING_BAN, PIPELINE_ATTACK"
2020-01-30,Trade tensions escalate between USA and energy partners | New energy cooperation agreement signed with Canada,-0.012652929098722232,-0.1705065747380615,"USA, Canada","TRADE_WAR, ENERGY_AGREEMENT"
2020-01-31,New sanctions target USA energy sector,-0.42774203112591125,-0.2613849516432766,USA,SANCTIONS
2020-02-02,Carbon pricing mechanism implemented in Iran | Geopolitical tensions rise in Venezuela energy region | Major refinery fire disrupts USA energy supply,-0.19408085336708195,0.056546122107417,"Iran, Venezuela, USA","CARBON_TAX, GEOPOLITICAL_TENSION, REFINERY_FIRE"
2020-02-03,Major renewable energy investment announced in Iran,-0.02975817902695981,0.10492180012610182,Iran,RENEWABLE_INVESTMENT
2020-02-05,Major renewable energy investment announced in Norway | Pipeline infrastructure attacked in China | Climate summit addresses Russia energy transition,0.02073560127804385,0.21911291199128557,"Norway, China, Russia","RENEWABLE_INVESTMENT, PIPELINE_ATTACK, CLIMATE_SUMMIT"
